B: 	deze hebben een plaat erdoorheen aan de een beetje aan de bovenkant en twee poot eronderuit 
B: 	vinden ik het lijken 
B: 	en er staan een soort van omgekeerde driehoek afronden bovenop 
A: 	ja 
A: 	ja 
A: 	ja lijken een beetje op een tafel 
B: 	ja dat vinden ik ook een picknicktafel 
A: 	die 
A: 	ja oké top 
B: 	ja 
A: 	dan zijn het zestien 
B: 	oké 
A: 	dit zijn die met die picknicktafel 
B: 	ja nou dit zijn P laugh 
B: 	oké ik hebben de picknicktafel 
A: 	even zoeken 
A: 	wow 
A: 	ja 
A: 	oké dat zijn veertien 
B: 	oké 
A: 	ik hebben die met de picknicktafel 
B: 	ja even zoeken 
B: 	ja dat zijn N 
A: 	oké 
B: 	ik hebben een picknicktafel 
A: 	even zoeken 
A: 	dat zijn tien 
A: 	dit zijn die met de picknicktafel 
B: 	ja 
B: 	ja dat zijn D 
