A: 	deze hebben twee uitsteeksel met aan het einde van de uitsteeksel een soort 
A: 	ja knop of knoopje erop 
A: 	en aan de achterkant zitten een soort plank schuin omhoog met een dinge eraan vast nog 
B: 	ja ik weten welk je bedoelen 
B: 	dat zijn K 
B: 	deze hebben weer zo'n doorlopen staaf met aan het einde een bol en aan de ander kant ook het einde een bol 
B: 	en een soort schuin plaat link 
A: 	een schuin plaat zo erachter 
B: 	ja 
A: 	ja dat zijn bij mij negen 
A: 	deze hebben twee die twee uitsteekselt met een rond aan het einde 
A: 	en dat vierkantje zo schuin achter 
B: 	ja 
B: 	ik zijn hem even aan het zoeken 
B: 	ja dat zijn bij mij F 
B: 	die doorlopen staaf met die bollen aan de zijkant 
B: 	en die plank schuin 
A: 	ja ja 
A: 	dat zijn bij mij drie 
A: 	deze zijn die met die soort staaf erdoorheen en die rond dinge aan de uiteinde en die plank zo schuin 
B: 	L 
A: 	ja 
B: 	die met die strokk staaf met die twee bollen aan de zijkant 
A: 	ja dat zijn nummer vijf 
