A: 	dit plaat hebben vier verschillend uitsteeksel 
A: 	twee aan de linkerkant één aan de bovenkant en één aan de rechterkant 
A: 	het uitsteeksel aan de rechterkant zijn een soort van uitgerekte kubus 
A: 	en het uitsteeksel aan de bovenkant zijn een beetje ovaalvormig 
A: 	en aan de linkerkant zitten twee uitsteeksel waarvan er één de onderste ovaalvormig zijn en die daarachter ja lijken een soort van staart of iets dergelijk te zijn er zitten een knik in 
A: 	ik weten niet of je een beetje doorhebt wat ik bedoelen 
B: 	shit 
B: 	nee nog niet helemaal 
A: 	zeggen maar 
B: 	zitten er op de bovenkant zijn het als je het kop hebben zitten erbovenop dan een soort heuvel 
A: 	nee hij zijn zeggen maar hij zijn plat 
B: 	ja 
A: 	en daaruit komen een soort ovaalvormig figuur 
A: 	hij zijn wel best wel langwerpig 
A: 	lijken een beetje op die lepel zeggen maar waar ik het net over hebben 
B: 	ah ja ik ik zien hem al 
B: 	ik weten al welk het zijn 
B: 	het zijn E 
A: 	oké 
B: 	ja 
B: 	oké 
B: 	dit zijn weer dat ding waar zeggen maar twee lepel uit steken zeggen maar als het een kop zullen zijn één en dan met dat raar uitgerekken 
B: 	kubusding aan de rechterkant 
A: 	en dat bolle aan de ander kant 
B: 	een wat 
A: 	dat bolle aan de ander kant 
B: 	nee 
B: 	even denken hoe omschrijf ik dit ? zeggen maar zitten steekt één lepeltje in 
A: 	ja 
B: 	en dan aan de linkerkant opsteken opsteken ook een lepeltje uit zeggen maar 
B: 	dat kunnen natuurlijk niet in het in het echt maar 
A: 	zo 
A: 	ja 
A: 	maar daar zitten nog een uitsteeksel aan die kant 
B: 	ja 
B: 	er zitten vier in totaal 
A: 	ja en aan de ander kant die kubus 
B: 	ja 
A: 	ja 
A: 	nummer elf zijn dat 
A: 	en dit zijn het gek ding met twee lepelt één aan de bovenkant en één aan de linkerkant en de kubus die eruit komen aan de rechterkant 
B: 	ja 
B: 	J 
B: 	dit zijn die met vier uitsteeksel waarvan de rechter een uittrekken kubus zijn en de twee lepelt 
A: 	ja nummer negen 
A: 	en dit zijn het plaat met die vier uitsteeksel met twee lepelt één boven één link 
B: 	ja 
B: 	dat zijn B 
B: 	oké dit zijn met die vier uitsteeksel en twee lepelt 
A: 	waar zijn je 
A: 	nummer vier 
