B: 	even kijken deze die hebben twee van die vierkant piramidet aan de voorkant met zo'n vierkant vlak aan de voorkant 
A: 	twee van die piramide 
B: 	of ja een twee van die van die uitsteeksel van die van dezelfde uitsteeksel aan of ja linkerkant zijn het eigenlijk en dan hebben die zo'n antenne op zijn hoofd 
B: 	en dan zo'n vierkant vlak op de voorgrond 
A: 	een robot 
B: 	ja robot ja oké 
A: 	ja ja 
A: 	dan zijn het twee 
A: 	ja ik vinden het echt een robot zo 
A: 	ik hebben net het hebben net WALLE kunnen zijn 
A: 	zijn het robo weer 
B: 	G 
B: 	deze zijn die machine met dat vierkant aan de voorkant 
B: 	dat vierkant aan de voor met die twee poot aan de aan linkerkant 
A: 	die machine en die 
B: 	hoe noemen we die ook weer 
A: 	robot 
B: 	die 
B: 	ja die robot 
B: 	ja 
A: 	ja met dat pinne 
B: 	ja 
A: 	ja 
A: 	dat zijn negen 
A: 	robot 
B: 	d 
B: 	dit zijn die dat robo 
B: 	met die twee pinnet aan de voorkant 
A: 	ja 
A: 	even kijken waar jij zijn 
A: 	waar zijn jij nou 
A: 	ja één 
A: 	de robot 
B: 	B 
