B: 	er het zijn een ik noemen het dan een pot of een ja een theekopje 
A: 	oké 
B: 	en hij hebben één staaf aan de linkerkant 
B: 	en onder de pot zitten ook nog een soort balk aan vast 
B: 	en aan de achterkant zitten een cirkelt 
B: 	voor de helft 
B: 	en nog een soort van roerstaafje zitten er in het bak 
A: 	oké en dan daaronder zo'n een beetje ovaal staand ding 
B: 	ja kloppen 
A: 	oké dan weten ik denken ik welk het zijn 
A: 	dan zijn het nummer dertien 
A: 	oké dit zijn dat theekopje wat je omschrijven 
A: 	weten je wel ? met dat lepel erin en zo'n ja waar je het aan vasthouden en zo'n soort van dekseltje 
B: 	ja 
B: 	ja wat eraan vastzit zeggen maar 
A: 	ja wat eraan vastzitten 
B: 	met dat balk eronder 
A: 	ja die 
B: 	ja 
B: 	dan zijn het O 
B: 	dit zijn weer dat theekopje met dat rond aan de zijkant geplakt lepel en het oor 
A: 	ah 
B: 	en dat balk 
A: 	dat zijn nummer acht 
A: 	dat zijn dat theekopje met dat dekseltje aan de zijkant 
B: 	ja 
A: 	en zo'n platform aan de onderkant 
B: 	ja dat zijn C 
B: 	dit zijn weer dat theekopje met dat bolle aan de achterkant of dat rond aan de achterkant 
A: 	ah oké dat zijn nummer vijftien 
A: 	dit zijn dat theekopje met die met de deksel en zo'n onderdinge 
B: 	ja 
B: 	dat zijn C 
A: 	dan zijn we klaar 
