A: 	ja nou hebben ik het vierkant 
B: 	okee 
A: 	het zijn ook weer zo'n kop er zitten een rond met zeggen maar een een stok erdoorheen 
A: 	soort van spies met een plat rond aan de achterkant 
A: 	en er zitten nog een klein dinge in 
A: 	het lijken op een lepel 
B: 	ja een rond met een stok er doorheen dat zitten aan de voorkant 
A: 	ja 
B: 	en dat dat ovaal plat dinget zitten aan de rechterkant 
A: 	zitten aan 
A: 	ja zitten aan de achterkant van het stok zeggen maar 
A: 	soort van 
B: 	ja 
A: 	rechterkant ja inderdaad 
B: 	en dan dat dat -t ja dat lepeltjeachtig zitten bovenop 
A: 	ja 
A: 	yes 
B: 	dat zijn bij mij i 
B: 	deze hebben een een lepeltje link 
B: 	en rechtsvoor zitten een bolle waar een stok doorheen zitten een staaf doorheen en dan rechts de de ovaal cirkel 
A: 	ja 
A: 	ja 
B: 	ja 
A: 	yes dat zijn nummer zestien 
A: 	dit zijn die dat rond met die met die stok erdoorheen met die plat ovaal aan de achterkant en de lepel erin 
B: 	ja dat zijn i 
B: 	het theekopje met het lepel erin en de bol met een staaf erdoorheen en een plat cirkel 
A: 	yes dat zijn dertien 
A: 	dit zijn die met die gespie bal met die lepel 
B: 	gespiesen bal en die lepel 
B: 	waar zijn die 
B: 	daar ja dat zijn o 
B: 	het lepel en de de bal met een stok erdoorheen en een plat cirkel rechts 
A: 	ja yes dat zijn twee 
