B: 	oké deze het rond dinge staan op een soort plateau helemaal laag 
B: 	en links en rechts zijn allemaal een soort van kraalt ernaast 
A: 	ja 
B: 	oké 
A: 	oké 
A: 	ja ik weten welk 
A: 	nummer vijf 
A: 	dit zijn dat ding met die twee ding aan de zijkant met die kraal 
B: 	ja ik hebben hem 
A: 	en dat rond ding voorop 
B: 	dat zijn J 
B: 	dit zijn met die hoe noemen je het ook alweer 
B: 	parelt of zo en aan beide kant drie 
A: 	die kraalt ja 
B: 	hij staan op zo'n platform 
B: 	een kraal zijn dat ja 
A: 	ja 
A: 	nummer elf 
A: 	dit zijn dat ding met die twee ding aan de zijkant met die kraal 
B: 	dat zijn P 
B: 	die hoe heten dat nou ? kraalt aan allebei de kant 
A: 	ja 
A: 	nummer negen 
A: 	dat poppe met die twee kralendinge 
B: 	ja L 
