B: 	ok dit zijn dus wel dat beker met die oor 
B: 	en het zijn met een vlak onderaan alsof hij op een tafel staan en met zo'n rond voor ze aan de voorkant 
A: 	ja 
A: 	ja 
A: 	en die twee macaroni dinge op de achtergrond oken ja dat zijn nummer vijf bij mij 
B: 	ja 
A: 	ja dit zijn die kop die op dat plateau staan met die aan beide kant drie van die 
A: 	bollet of diamant die er zeggen maar uitkomen en zo'n vlak voor en die macaroniding op de achtergrond ja 
B: 	en de voorkant zo'n ding 
B: 	ja dat zijn voor mij J 
B: 	dit zijn met het tafel er onder en die twee spriet ding met die drie bollet 
A: 	en dat rond er voorop en die 
B: 	en de twee macaroni's 
A: 	ja dat zijn nummer elf 
A: 	dit zijn die op dat plateau staan met die twee sliert die er uitkomen en dat rond er voorop en macaroni 
B: 	en Macaroni 
B: 	ok dat zijn voor mij P 
B: 	dit zijn met die twee macaronie op een tafel en die twee oor 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	dit zijn met dat plateau met die twee friemeltjes aan de zijkant en macaroni op de achtergrond en een rond plaat voorop 
B: 	ja dat zijn L 
