A: 	nu hebben jij weer die vierkant toch 
B: 	ja 
B: 	deze hebben zo twee klein wat hoe heten dat ? niet een kegel maar een 
B: 	shit mijn wiskunde 
B: 	in ieder geval twee spriet bovenop 
B: 	en zo'n plaat erdoorheen onderaan 
A: 	ja ja ik vinden dat een beetje op een tutu lijken maar ik weten ook wel 
B: 	die plaat 
A: 	ja 
B: 	ja oké dat hebben ik er niet in zien 
A: 	ja 
B: 	maar 
A: 	met zo'n slurf hebben die ook nog 
B: 	ja een slurf en iets dat lijken op een pijp 
A: 	en zo'n soort van 
A: 	ja 
A: 	ja oké dat zijn zes 
A: 	dit zijn die met die tutu weer 
A: 	met die plaat er dwars doorheen 
B: 	ja die met met de slurf 
A: 	ja 
B: 	ja dus dat zijn C 
A: 	ik met mijn vierkant 
B: 	dit zijn weer die met de tutu 
A: 	even kijken hoor waar zijn die 
B: 	met de slurf 
A: 	ja 
A: 	ja 
A: 	dat zijn dertien 
A: 	dit zijn weer die tutu 
B: 	waar zijn die 
A: 	met die slurf 
B: 	ja dat zijn J 
B: 	dit zijn die met de slurf en een tutu 
A: 	ja dat zijn negen 
A: 	dit zijn weer die tutu 
B: 	waar zitten die ? N 
