A: 	dit zijn degeen het kop met een een bolle Erboven 
A: 	twee dun dinge aan de zijde en nog een pilaar ervoor 
B: 	ja ik weten welk je bedoelen 
B: 	d 
B: 	dit zijn met een bal bovenaan en die twee armp zo en dan dat ding aan de voorkant 
A: 	die pilaar 
B: 	ja 
A: 	ja 
A: 	vijftien 
A: 	dit zijn met een balle boven die twee dun sprie aan de zijkant en de pilaar 
B: 	ja ik weten welk je bedoelen 
B: 	L 
B: 	dit zijn weer met die bal bovenop en die pilaar en de twee armp 
A: 	ja ja 
A: 	zes 
A: 	dit zijn met het bolle hoog pilaar voor en die twee dun armpjes aan de zijkant 
A: 	aan al twee al al twee de kant één 
B: 	ja 
B: 	waar zijn die 
B: 	J 
B: 	dit zijn weer met dat bolle bovenop en die twee dun armp en de pilaar 
A: 	yes yes dat zijn drie 
