B: 	eens even kijken hoor deze dit kop staan op een soort draaien poot met een driehoek aan de onderkant 
A: 	ik weten hem al dat zijn de enig denken ik die er zijn zo ja 
B: 	ja volgens mij wel 
A: 	twaalf 
A: 	deze zijn met die draaiing waar die op staat 
B: 	in in de poot 
A: 	ja 
A: 	en dan hebben je dat driehoek waar dat dan weer op staat 
B: 	yes dat zijn p 
B: 	deze hebben de draaien poot 
B: 	met het driehoek 
A: 	draaien poot met die driehoek eronder 
B: 	ja 
A: 	vijf 
A: 	dit zijn met de draaiing en waar die op staat en dat driehoek waar die dan weer op staat 
B: 	yes dat zijn p 
B: 	dit zijn de draaien poot met driehoek 
A: 	draaien poot met driehoek dus die stoon steun dat zijn nummer zeven 
A: 	met de draaien en dan daaronder dat driehoek 
B: 	yes dat zijn c 
