B: 	ja 
B: 	deze zijn lastig 
B: 	dit zijn gewoon een kop en daarbovenop zitten een een balk 
B: 	gewoon een recht balk 
B: 	en hij hebben niet zoveel zeggen maar langwerpig uitsteeksel hij hebben gewoon één die een beetje zo aflooppen 
B: 	zo 
B: 	en één die zo omhoogsteekken 
B: 	aan de rechterkant 
B: 	ja 
B: 	die afloopt zijn een beetje een soort hellink die eraan vastgeplakt zitten 
A: 	en de zitten er aan de bovenkant ook nog een rechthoekig balk 
B: 	een balk 
B: 	ja een soort van 
B: 	beetje zoals die Xboxbalk waar we nu mee filmen worden 
A: 	ja 
B: 	bovenop 
A: 	oké 
A: 	dat zijn nummer acht 
A: 	dit zijn dat plaat met aan de linkerkant zo'n uitsteeksel dat een beetje een soort hellink zijn 
A: 	en aan de bovenkant die balk erbovenop 
A: 	en aan de ander kant steken daar nog één ja een soort dinge uit 
B: 	ja die 
B: 	E zijn dat 
B: 	die zijn echt heel raar om te omschrijven 
A: 	ja 
B: 	dit zijn die lastig te beschrijven zijn met de Xboxbar boven 
B: 	en het heuvelt aan de linkerkant dat aflooppen 
A: 	ja nummer één 
A: 	dit zijn die die lastig te omschrijven zijn met een hellink aan de rechterkant 
B: 	ja 
A: 	en een balk aan de bovenkant 
B: 	E 
B: 	dit zijn die lastig te omschrijven zijn met de Xboxbalk 
A: 	ja zestien 
A: 	dit zijn die lastig te omschrijven zijn met hellink en de Xboxbalk bovenaan 
B: 	ja 
B: 	O 
