A: 	deze hebben een een soort satelliet op zijn hoofd of ja een een twee plat hoe noemen je dat ruiten 
A: 	vierkant blaad 
A: 	met een staaf erdoorheen 
B: 	ja 
B: 	ja 
A: 	en een een soort pinokkio-neus en nog een staaf rechts en beneden in een soort l-vorm 
B: 	ja okee dan zijn het n 
B: 	deze hebben een diamant op zijn hoofd met twee stekel eraan 
B: 	een soort handvat aan de onderkant een pinokkio-neus en ook nog iets rechts 
A: 	ja veertien 
A: 	ja 
A: 	deze hebben een pinokkioneus maar belangrijk zijn daar hebben jij zo'n goed voor diamantvormig plaat 
B: 	met schroef eraan 
A: 	ja 
B: 	okee dat zijn d 
B: 	vreemd genoeg keek ik meteen naar de goed 
B: 	deze hebben een diamant op zijn hoofd met twee vierkant schroef erin 
A: 	ja dat zijn zes 
A: 	de de ruit kristal met het vierkant schroef 
A: 	en pinokkio-neus en twee uitstulping 
B: 	ja 
A: 	rechts en beneden 
B: 	dat zijn i 
B: 	diamant met de vierkant schroef 
A: 	ja 
B: 	de pinokkio en de etcetera 
A: 	ja hoe zullen we die noemen ? 
A: 	dat zijn vijf 
B: 	okee 
A: 	waar doen het je aan denken 
B: 	aan een wc-pot 
A: 	ja ik hebben het ook nog niet nee 
A: 	aan een wc ? ja 
A: 	wc-pot ik vinden hem goed 
