A: 	okee hier zitten heel veel ding aan vooral aan de bovenkant zitten een een ruitvorm met iets erdoorheen 
B: 	ja ik hebben hem al 
B: 	ja b 
B: 	ik zijn sorry deze zijn de beker met de ruit link bovenop en dan opsteken er een staaf doorheen met twee blok 
A: 	ja vijf 
A: 	dit zijn die heel ingewikkeld met die ruit aan de bovenkant die doorboren zijn met een staaf 
B: 	ja ja ja n 
B: 	dit zijn de ruit bovenin met de staaf erdoorheen 
A: 	acht 
A: 	dit zijn die met die ruit bovenop die met waar een ding doorheen zitten 
B: 	ja 
B: 	h 
B: 	dit zijn de ruit met de spel erdoorheen 
A: 	ja vijf 
