A: 	jij hebben het vierkant geloven ik 
B: 	ja 
B: 	ja dan moeten jij 
A: 	nee jij moeten dan gaan mij gaan vertellen welk het 
B: 	ja tuurlijk sorry 
A: 	maken niet uit 
B: 	nou het zijn hij hebben een cilinder aan de linkerkant zitten 
A: 	zeggen het maar 
A: 	cilinder aan de linkerkant 
B: 	ja en dan achter aan de achterkant hebben die het lijken een rond zitten 
B: 	maar je zien maar de helft 
A: 	en een soort sprie eruit 
B: 	ja 
A: 	ja 
A: 	ik hebben die zelf omschrijven als een soort glas met een schijf citroen erop 
A: 	omdat het een beetje zo lijken kunnen ik hem daarmee vergelijken 
B: 	ja 
A: 	ja 
B: 	ja kunnen wel 
A: 	nou dan dan hebben ik hem 
A: 	dan zijn het dertien 
A: 	oké dit zijn wat ik die met het citroenschijfjé noemen zeggen maar dus een soort met zo'n soort cilinder die er nog uit opsteken en een soort ja bijna een soort staaf er nog bovenin 
B: 	ja 
B: 	O 
B: 	ja 
B: 	sorry 
A: 	maken niet uit 
B: 	dat zijn met het citroenschijfjé 
B: 	en dan links de cilinder en daarbovenop weer zo'n pipetjeachtig achter 
A: 	ja ik hebben hem 
A: 	dat zijn acht 
A: 	dit zijn de citroenschijf zeggen maar 
A: 	met het stok erin 
B: 	even zoeken 
B: 	ja met links de cilinder 
A: 	ja precies 
B: 	C 
B: 	dit zijn de citroen citroenschijfje 
A: 	ja precies dat zijn zeven 
A: 	dit zijn de Citroenschijf en het staaf wat er nog in zitten 
B: 	ja dat zijn C 
A: 	ah 
B: 	top 
A: 	top 
A: 	hallo 
B: 	yes 
