A: 	ja nu hebben ik dat ding wat zo raar uitsteken die zo uit het niets eigenlijk komen een ja ik zien het als een soort toren 
A: 	die en hij hebben zo'n zo'n rond plateau 
B: 	aan de zijkant ja 
A: 	aan één kant 
A: 	ja 
B: 	ja 
B: 	ja oké 
B: 	dat zijn L 
B: 	oké dit zijn de Eiffeltoren 
B: 	met dat plateau 
A: 	ja 
B: 	oké 
A: 	zeven 
B: 	oké 
A: 	ik hebben weer de Eiffeltoren 
B: 	ja 
B: 	oké dat zijn C 
B: 	oké ik hebben de Eiffeltoren 
A: 	oké ja oké 
A: 	dat zijn nummer één 
A: 	de Eiffeltoren 
B: 	oké 
B: 	waar zijn die ? daar 
B: 	dat zijn A 
B: 	de Eiffeltoren 
A: 	ja 
A: 	dat zijn nummer dertien 
