B: 	nou vertel 
A: 	oké hij hebben het zijn weer zo'n sprie 
A: 	en hij hebben het een soort neus maar dan met een piercing erdoorheen zeggen maar 
A: 	een heel gek piercing met aan één kant een 
B: 	ja alsof er een bloeme doorheen zitten 
A: 	ja kunnen je ook wel zeggen denken ik 
B: 	ja 
B: 	dan weten ik het dan zijn het F 
A: 	oké 
B: 	dit zijn het piercingpoppe 
B: 	met de bol neus en daardoorheen een 
A: 	ja 
A: 	dat zijn vijf 
B: 	ja 
A: 	dit zijn de neus met piercing 
B: 	neus met piercing dat zijn A 
A: 	dat zijn toevallig 
B: 	dit zijn de de neus met piercing 
B: 	en het pluk bovenop 
A: 	vijf 
A: 	neus met piercing 
B: 	neus met piercing H 
B: 	dit zijn het piercingpoppe 
A: 	ja 
A: 	vijftien 
