A: 	even kijken dit zijn de kopvorm met aan de linkerkant zitten één van soort balk 
A: 	en het lijken dan alsof daar een heel groot spijker in zijn slaan 
B: 	even kijken aan de zijkant soort balk met een spijker erin 
A: 	dus een beetje een l-vorm aan de linkerkant 
A: 	zullen we zeggen 
B: 	de met zitten er dan aan de zijkant een soort rond op een soort van tafel 
A: 	ja 
B: 	okee ja 
A: 	aan de rechterkant ja 
B: 	Okee d 
B: 	deze zijn diegene die aan de rechterkant een soort van schotel eruit hebben komen 
B: 	en dan aan de linkerkant zitten een soort van twee ova aan elkaar vastgeplakt met daar lijken het alsof er een spijker erin zijn slaan 
B: 	soort van vierkant vorm die dan steeds klein worden in het balk wat uit het kop komen 
B: 	okee aan de linkerkant zitten een zitten een komen er een balk uit wat zeggen een beetje rond zijn met twee klein ovaalt lijken het een beetje op 
A: 	ja 
A: 	ik kijken ook al want het balk 
B: 	en dan zitten daar een spijker in slaan 
A: 	die met het schotel aan de voorkant 
B: 	ja 
B: 	met aan de rechterkant soort van schotel inderdaad ja 
A: 	ja 
A: 	dat zijn twaalf 
A: 	even kijken dit zijn de het kop met de de staaf aan de zijkant waar de spijker inslaan zijn 
B: 	met het schotel aan de rechterkant 
A: 	met het schotel aan de rechterkant ja 
B: 	ja f 
B: 	dit zijn degeen met een soort van schotel aan de rechterkant 
B: 	en dan aan de linkerkant de balk met een spijker erin 
A: 	ja twaalf 
A: 	dit zijn die met het schotel aan de rechterkant en dan de balk aan de linkerkant met spijker 
B: 	ja 
B: 	l 
B: 	dit zijn degeen met de schotel aan de rechterkant en dan de balk met de spijker erin aan de linkerkant 
A: 	ja vier 
