A: 	ja even kijken er zitten een ronde bal achterop zeggen maar aan de bovenkant en aan de zijkant hebben die twee soort van handvaat en aan de voorkant een 
B: 	ja en aan de voorkant een vierkant staaf 
A: 	ja precies 
B: 	d 
B: 	oké dit zijn diegene met die staaf aan de voorkant weer met dat bolle bovenop 
A: 	ja 
B: 	we hebben hem al hebben 
A: 	en met de hand aan de zijkant 
B: 	met ja met die dinge aan de zijkant 
A: 	ja 
A: 	oké 
A: 	vijftien 
A: 	hoe noemen we deze ook alweer ? die met die grijparmp met de bol bovenop 
A: 	en de vierkant blok 
B: 	ja met de vierkant statief 
A: 	hoe gaan we die noemen 
B: 	de een pullup ik ik zien het wel als een een basketbal laten maar zeggen 
B: 	weten je wel dat je dat bolle als de basketbal in het theekop doen 
A: 	prima basketbal 
B: 	basketbal 
B: 	L 
B: 	de basketbal 
A: 	de basketbal dat zijn met die armpjes aan de zijkant ook ja 
B: 	ja ja 
A: 	dat zijn zes 
A: 	one even kijken welk zijn dat de basketbal 
B: 	de basketbal 
A: 	basketbal dat zijn drie 
