B: 	oké 
B: 	dit vinden ik één van die figuur die ik wat moeilijk voor mezelf ook vinden om te onthouden 
A: 	ja 
B: 	het lijken of er aan de linkerkant van het kop 
B: 	een soort lampenkap zitten 
A: 	lampenkap 
B: 	ja het zijn een heel compact hij zijn vrij compact alles er zijn geen groot uitsteeksel 
A: 	ja 
A: 	ja 
B: 	aan de rechterkant zitten een soort afvoer en bovenop zitten een recht daar zitten een soort ja langwerpig voorwerp 
B: 	heel klein lampenkap 
B: 	bovenop een langwerpig voorwerp 
B: 	rechts zitten een soort afvoer 
B: 	het zijn heel klein opsteken niet echt uit maar je zien het wel zitten 
A: 	wachten en ze zitten zitten zitten aan beide kant lampenkapjes 
B: 	ja zoiets ja 
A: 	en erbovenop zitten een zitten toch een balk toch 
B: 	ja 
B: 	ja 
A: 	ja oké dan weten ik het 
A: 	dat zijn acht 
A: 	het zijn een zitten een balk op 
A: 	en die twee van die hoe noemen jij het 
B: 	lampenkap 
A: 	ja van die lampenkapjes naast twee lampenkapjes naast 
B: 	zijn dat dan 
B: 	ja 
B: 	nummer E 
B: 	letter E 
A: 	oké 
B: 	de lampenkapjes de ja ik weten niet het er liggen een rechthoek recht op 
B: 	er liggen een rechthoek op 
B: 	dat zijn er maar één volgens mij die dat hebben 
B: 	liggen één lang rechthoek op 
A: 	ja 
B: 	en je 
A: 	en dan twee lampenkapjes naast 
B: 	ja twee van die kap of zo 
A: 	en twee een cilinder ervoor in de voorkant volgens mij zijn dat een cilinder 
A: 	ja 
A: 	één zijn dat 
A: 	lampenkap balk erop 
B: 	ja ja ja ja ja even zoeken 
B: 	ja 
B: 	dat zijn E 
B: 	dit zijn die waar een rechthoek op liggen en hij hebben twee van die kap ik noemen het lampenkapjes 
A: 	ja 
A: 	die lampenkap lampenkapjes waar zijn de lampenkapjes 
A: 	ja 
A: 	dat zijn zestien 
A: 	lampenkap met de balk erop 
B: 	momen 
B: 	dat zijn O 
