A: 	hier hebben je de hoofdvorm en dan rechts van de hoofdvorm hebben je een cirkel op zijn plat kant 
A: 	nee dat zijn trouwens rechts links hebben je één ja wat zijn het een rond staaf maar dan de helft daarvan 
A: 	en aan die rond staaf zitten een soort puntvormig puntvormig voorwerp 
B: 	ja 
B: 	c 
B: 	i 
B: 	je hebben de hoofdvorm en dan voor rechtsvoor zijn een cirkelplateau waar eigenlijk in principe iets op kunnen staan 
B: 	link staan dus ja die die schuin buis doormidden maar dan met een hol erin 
A: 	ja 
B: 	en zo'n pyramide naar beneden 
A: 	nummer acht 
A: 	dit zijn de hoofdvorm waarbij er rechts een cirkel zijn gewoon zo plat 
A: 	links hebben je die vorm die half uitsnijden zijn met een soort spits punt erin 
B: 	rechts zijn een 
A: 	ja een cirkel die eraan vast zijn plakken waar je iets op kunnen voortzetten 
A: 	in feit 
A: 	en dan links hebben je die rond staaf die eigenlijk door de helft zijn 
B: 	ja 
B: 	ja 
B: 	l 
B: 	dit zijn de hoofdvorm met een soort van plateau een cirkelplateau voorop 
B: 	en aan de zijkant een soort van die buis met dat hol en die schuin pyramide er 
A: 	ja 
A: 	met die punt 
B: 	ja 
A: 	ja 
A: 	nummer twee 
A: 	dit zijn de hoofdvorm met die rond staaf aan de linkerkant die uitsnijden zijn met die punt erin 
B: 	ja 
B: 	je bedoelen met die schuin punt zo naar beneden 
A: 	ja 
B: 	h 
B: 	dit zijn de hoofdvorm met eigenlijk aan de linkerkant die soort van hol buis met die pyramide die er dan zo schuin in opsteken 
B: 	en dan dat cirkelplateau aan de rechterkant 
A: 	ja 
A: 	waar je iets op kunnen voortzetten 
B: 	ja 
A: 	nummer twee 
