A: 	ja er zitten een lepeltje in 
A: 	en het lijken alsof het zeggen maar vastgemaakt zijn aan de muur als er dan zeggen maar een muur zullen zijn 
A: 	en laten maar zeggen zijn een soort staaf wat vastgeplakken zijn aan een mok met een cirkel daarin 
B: 	en hoe het vastgemaaktten zijn aan de muur zijn dat zo'n soort van plat cirkel 
A: 	ja 
A: 	ja zijn een plat cirkel 
A: 	en het lepeltje wijzen zeggen maar naar de linkerkant 
B: 	ja 
A: 	vanuit de mok 
B: 	okee 
A: 	dus dan zitten er zeggen maar een staaf eraan vastgemaakt 
A: 	en een cirkel erin en 
B: 	ja 
A: 	alsof die zeggen maar alsof je dat kunnen aanzuigen aan een muur laten maar zeggen 
B: 	ja hij zitten rechts aan de muur 
A: 	ja precies 
B: 	okee dan zijn het e 
B: 	deze zitten tegen de muur aan met een lepel erin 
B: 	en een ja een ei en daar doorheen zitten zo'n staaf en daarmee zitten het tegen de muur aan met een rond ding aan de rechterkant 
A: 	ja wat lijken op een zo'n soort zuignap zeggen maar achtig iets 
B: 	ja 
A: 	met een lepeltje uitsteken en een ei daarnaast rechts 
B: 	ja 
A: 	ja dat zijn nummer tien 
A: 	dit zijn met een lepel erin 
A: 	een soort ei aan de rechterzijde met die zuignap erdoorheen 
B: 	ja 
B: 	dat zijn b 
B: 	ja met het lepel erin en de zuignap 
B: 	en het ei 
A: 	ja dat zijn nummer tien 
A: 	het lepel en een zuignap aan de zijkant 
B: 	ja 
B: 	dat zijn 
A: 	en een ei erdoorheen 
B: 	ja 
B: 	dat zijn h 
B: 	even kijken lepel erin en de zuignap 
A: 	even kijken waar zijn die 
A: 	ja nummer vijfteen 
