B: 	one ja deze hij hebben aan het zijn ook weer zo'n zo'n kop natuurlijk aan de voorkant een rond en aan beide kant drie van die kraal 
A: 	beetje als Pippi Langkousvlechtjes 
B: 	ja ja precies ja 
A: 	ja 
A: 	oké dat zijn vijf voor mij 
A: 	dit zijn degeen met die Pippi Langkousvlechtjes en dat groot cirkel wel 
B: 	yes dat zijn voor mij nummer J of letter J 
B: 	dit zijn wederom die met die Pippi Langkous vlechtjes 
A: 	check dat zijn elf 
A: 	dit zijn die met de Pippi Langkousvlechtjes 
B: 	ja 
B: 	dat zijn P voor mij 
B: 	dit zijn weer de Pippi Langkousvlechtjes 
A: 	ja dat zijn negen voor mij 
A: 	Pippi Langkous 
B: 	L 
