B: 	oké dit zijn ook een komme en die hangen een beetje omhoog en er zitten een soort van ja 
B: 	paal onder en dan staan die op een driehoek 
A: 	ja ja ik zien er een juichen persoon in 
A: 	maar inderdaad 
B: 	vinden ik best creatief 
A: 	twee armp op één been staan die op een driehoek plateau 
B: 	ja 
A: 	ja 
B: 	dat zijn hem 
A: 	dat zijn nummer vier 
A: 	dit zijn dat juichend persoon op dat driehoekig plateau 
B: 	even kijken waar staan die 
B: 	waar zitten zitten die arm ook alweer 
A: 	die ja je hebben dan dat dat vormp de basisvorm 
B: 	ja 
A: 	daarbovenop zitten een soort spiraal die naar een driehoekig plateau gaan 
A: 	en ver staan er twee blok en nog een ander soort uitsteeksel 
B: 	even kijken hoor 
B: 	zijn het zeggen maar dat die dat ei voorop hebben 
A: 	nee 
B: 	nee 
B: 	oké 
B: 	zijn dat die met die die dus dat ding dat uitsteken aan de zijkant 
B: 	die balk 
A: 	nee die ook niet 
A: 	dus best wel langwerpig 
A: 	dus de basisvorm en daaronder komen een soort spiraalvorm uit 
A: 	en die zitten op dat driehoekig plateau 
B: 	op dat driehoek 
B: 	nu zien ik die arm 
A: 	ja 
B: 	ja oké 
B: 	dat zijn A 
B: 	dit zijn die pot zeggen maar weer met de soort van ronddraaien slurf eronder en dat driehoek dat op de grond staan 
A: 	ja 
A: 	die juichen 
B: 	ja 
A: 	ja 
A: 	dat zijn nummer tien 
A: 	dit zijn de juichend persoon 
A: 	dus met de spiraal op een driehoekig plateau 
B: 	dat zijn L 
B: 	dit zijn met dat driehoek op de grond met die slurf en dan die pot 
A: 	die juichen 
B: 	ja 
A: 	die persoon ja 
A: 	oké 
A: 	dat zijn nummer vier 
A: 	one's dit zijn dat juichend poppe 
A: 	dus op het driehoekig plateau 
A: 	met de spiraalvorm 
A: 	en dan 
B: 	ja 
B: 	dat zijn F 
