B: 	even kijken 
B: 	dit zijn echt zo'n heel irritant vorm met zo niks heel interessant zijn er zitten in ieder geval een 
B: 	langwerpig liggen balk op 
B: 	en dan zo'n zo'n klein cilinder aan de rechterkant 
A: 	ja 
A: 	ja en zo'n aan de linkerkant lijken een soort van lampenkap achtig erop 
B: 	ja 
B: 	ja 
A: 	ja dat zijn acht 
B: 	ja 
A: 	vinden ik ook al zo niks zeggen 
A: 	dit zijn die eigenlijk die nikszeggen met die balk bovenop en die lampenkap 
B: 	oké dus dat zijn E 
B: 	dit zijn weer die saai met de de langwerpig balk erop 
A: 	en die lampenkap 
B: 	ja 
A: 	dat zijn één 
A: 	dit zijn weer die saai met die balk en die lampenkap 
B: 	ja dat zijn E 
B: 	dit zijn die weer die saai met de balk erop en de lampenkap aan de linkerkant 
A: 	dat zijn zestien 
A: 	dit zijn die saai met die balk en die die lampenkap 
B: 	ja dat zijn O 
