B: 	nou de hoofdvorm en dan eigenlijk aan de zijkant link staan een soort van yoghurtbak daaraan vastgeplakken op de kop 
B: 	daar bovenop liggen een rechthoek 
B: 	en aan de rechterkant zijn één ja een rond staaf zo omhoog op een uitsteeksel maar ik weten niet wat dat uitsteeksel zijn 
A: 	even kijken hoor 
B: 	je kunnen je 
A: 	kunnen je nog een keer herhalen 
B: 	ja natuurlijk 
B: 	een je hebben de hoofdvorm 
A: 	ja 
B: 	aan de linkerkant zijn een soort van beker yoghurtbak op zijn kop dus een ja wat zijn het 
A: 	ja ja ja ja 
B: 	en dan bovenop een rechthoek 
A: 	ja 
B: 	dat erop liggen op de hoofdvorm 
A: 	ja 
B: 	en aan de rechterkant hebben je een soort van klein staaf 
A: 	ja ja 
A: 	dat zijn nummer zes 
B: 	okee 
A: 	hier hebben je de hoofdvorm linksonder zitten vastplken een yoghurtbak op zijn kop 
A: 	op de hoofdvorm liggen een staaf 
A: 	en rechts aan de hoofdvorm vast zitten toch een ja een klein staaf die rechtop staan 
B: 	ja ik hebben hem g 
A: 	ja 
B: 	dit zijn de hoofdvorm dat er een yoghurtbak link van de hoofdvorm eraan vast zijn plakken 
B: 	bovenop zijn een langwerpig rechthoek dat staan op de hoofdvorm 
B: 	en dan rechts zijn een soort van klein staaf ook op een yoghurtbak 
A: 	ja 
A: 	nummer veertien 
A: 	dit zijn de hoofdvorm met linksonder op zijn kop een yoghurtbak 
A: 	op de hoofdvorm liggen een staaf 
A: 	een langwerpig staaf 
A: 	en rechts van de hoofdvorm hebben je een heel klein dun staaf dat rechtop staan op nog een soort van ja hoe zullen ik het noemen 
A: 	dus linksonder dat yoghurtbak op zijn kop die zitten aan de hoofdvorm vast 
B: 	ja 
B: 	ja en dan 
A: 	en op de hoofdvorm liggen een langwerpig staaf 
A: 	of een ja een staaf vierkant staaf 
A: 	met rechts nog een heel dun rond staafje 
B: 	zijn ik nou zo verkeerd aan het kijken 
B: 	sorry kunnen je hem nog één keer 
A: 	ja de hoofdvorm 
B: 	ja ik weten hem 
A: 	ja 
B: 	g 
A: 	okee 
B: 	ja 
B: 	dit zijn de hoofdvorm waarbij een yoghurtbak link aan de hoofdvorm vastzit soort van klein staaf rechts en dan bovenop een rechthoekig staaf 
A: 	even kijken hoor 
A: 	yoghurtbak zijn 
B: 	ja 
B: 	yoghurtbak op de kop link van de hoofdvorm zitten er aan vastgeplakt 
B: 	een rechthoekig staaf bovenop de hoofdvorm 
B: 	en rechts van de hoofdvorm zitten zo'n klein staaf op ook een yoghurtbak op zijn kop of een vierkant plateau ik kunnen niet zo goed zien wat het zijn 
A: 	ja yoghurtbakje zitten linksonder 
B: 	ja 
A: 	en de staaf liggen zo er op 
B: 	ja 
A: 	ja nummer zeven 
A: 	dit zijn het de hoofdvorm met daarop een langwerpig vierkantje met linksonder het yoghurtbak op zijn kop 
A: 	en rechtsonder hebben je nog dat heel dun staaf 
B: 	even kijken waar zien ik hem 
A: 	dus je 
B: 	ja 
A: 	ja 
B: 	d 
