A: 	hier zitten aan de bovenkant en aan de linkerkant dezelfde vorm en beetje zo'n ja hoe noemen ik het een soort handvat eigenlijk en aan de rechterkant zitten zo'n vierkant soort toren 
A: 	erdoorheen steken 
A: 	of doorheen erop 
A: 	en aan de achterkant zitten nog een klein ja nog een uitsteeksel 
B: 	okee 
A: 	dus twee dezelfde aan de bovenkant en aan de onderkant soort handvat 
B: 	twee aan de bovenkant en 
A: 	één aan de bovenkant en één aan de linkerkant 
B: 	boven en link zitten hetzelfde zeggen je 
A: 	ja ja 
A: 	een soort rond handvaat beetje ovaal langwerpig 
A: 	en aan de rechterkant zitten dat vierkant soort toren dus die steeds klein worden 
B: 	ja ik zien het al het zijn een soort van kegel zeggen maar die je zo haaks op elkaar staan toch 
A: 	ja 
B: 	ja dan hebben ik hem i 
B: 	dit zijn die twee handvat die zeggen handvatt die zo haaks op elkaar staan 
A: 	ja negen 
A: 	dit zijn met die twee handvatt die haaks op elkaar staan 
B: 	ja even kijken 
B: 	k 
B: 	dit zijn de met de handvatt zo haaks op elkaar 
A: 	ja 
A: 	negen 
A: 	dit zijn die met die twee kegel haaks op elkaar 
B: 	j 
B: 	dit zijn de handvatt die haaks op elkaar staan 
A: 	veertien 
