B: 	oken ik hebben een plaat met een lepeltje rechts nou ik noemen het een lepel en dan links 
A: 	ja 
B: 	opsteken er iets uit een beetje zesvormig drievormig weten niet 
B: 	en aan de achterkant zitten nog een rond en de onderkant hebben een ja soort standaard nog 
A: 	o ja er zitten aan de linkerkant een soort buisachtig dinge dan aan de achterkant een rond en dan er in naar de rechterkant steken een soort 
A: 	zo'n omgekeerde druppel uit 
B: 	ja 
A: 	okan ja 
A: 	dat zijn nummer dertien bij mij 
A: 	en daar onder zo'n soort standaard 
B: 	ja 
A: 	nog ja nummer dertien 
B: 	moeten jij drukken 
A: 	o 
B: 	op geel 
A: 	op geel 
A: 	maar hoe hoe weten ze o dat horen zij welk nummer ik zeggen ok dertien 
B: 	ja 
A: 	ja dit dit zijn volgens mij de één die we hebben hebben die vinden ik op een drinkbeker lijken met zo'n 
A: 	zo'n standaard er onder met zo'n 
B: 	lepeltje 
A: 	ja zo'n lepel zo'n dinge naar de zijkant en zo'n rond die er half achter zitten 
B: 	ja dat zijn de O 
A: 	ja 
B: 	ok dit zijn de één die we hebben hebben met die standaard dat lepel dat rond achterop en dat uitsteeksel 
A: 	ja ja ja dat zijn 
A: 	ja dat zijn nummer acht 
A: 	dit zijn die eerst die we hebben hebben met dat onderstel en dat lepel met dat rond op de achtergrond 
B: 	dat zijn voor mij C 
B: 	dit zijn de één die we hebben met die standaard een lepel een rond aan de achterkant en een 
A: 	dat zijn nummer zeven 
A: 	dit zijn die één die we hebben met die standaard het lepel erin rond op de achtergrond 
B: 	ja dat zijn voor mij C 
A: 	ok 
B: 	hèhè 
A: 	ja ik willen zeggen ja 
B: 	dat zijn best lang 
