A: 	oké 
A: 	ik hebben er één met vier uitsteeksel twee dezelfde en dat zijn er één een soort van kegel bovenop 
A: 	en linksonder een beetje 
A: 	een soort van bowlingbalkegel lijken het een beetje op 
B: 	even kijken die een en die een omgekeerde stapel 
A: 	ja aan de rechterkant 
B: 	ja 
A: 	ja 
B: 	oké dat zijn E 
B: 	oké dit zijn één met twee van die kegel één boven en één link 
A: 	ja en rechts weer die trap 
B: 	en 
B: 	ja 
A: 	oké dat zijn bij mij nummer elf 
A: 	ik hebben diegene weer met dat trappe aan de rechterkant dat omgekeerde trappe laten maar zeggen 
A: 	en die kegel bovenop en die kegel aan de 
B: 	die twee ja 
B: 	dat zijn J 
B: 	dat zijn die een met het trappe rechts 
B: 	en de twee kegel 
A: 	ja 
A: 	nummer negen 
A: 	ik hebben die met dat trappe aan de rechterkant en die twee kegel boven en link 
B: 	dat zijn B 
B: 	ik hebben die een met het trappetje rechts en de twee kegel 
A: 	ja nummer vier 
