B: 	one's ik hebben nou een plaat met zo'n een bol aan de voorkant zeggen maar 
B: 	en dan hebben je een aan de bovenkant een recht staaf en een staaf dat een beetje lijken op een bowlingpin zeggen maar 
B: 	en dan opsteken er aan de linkerkant nog een een driehoek uit 
A: 	driehoekig ja 
B: 	dat 
A: 	dat zijn bij mij nummer veertien 
A: 	ik hebben er nu één met zo'n bolle ervoor 
A: 	en even kijken jij noemen het het bowlingpin of zo daar aan de zijkant en één Erboven en zo'n driehoekig ding naar buiten 
B: 	ja 
B: 	ja 
B: 	dat zijn bij mij zijn dat N 
B: 	nou hebben ik weer die een met dat bolle aan de voorkant zeggen maar en dan hebben je zo'n het één 
B: 	recht staaf zeggen maar en dan zo'n soort van bowlingpin weer aan de bovenkant die erin zitten en dan nog zo'n driehoek wat er uit opsteken 
A: 	ah ja 
A: 	ja 
A: 	dat zijn bij mij nummer negen 
A: 	ik hebben die een met dat bollet zeggen maar aan de voorkant en bowlingpin zeggen maar en dat driehoek aan de zijkant of hij staan bij mij ongeveer in het midden 
B: 	ja 
B: 	ja bij mij zijn het G 
B: 	weer met dat rond aan de voorkant en dan zo'n in een rechthoek zo die Erboven uitsteken en ook in zo'n soort van bowlingpin 
A: 	ja 
A: 	nummer vijf zijn dat bij mij 
A: 	kijken ik hebben nu die een met dat bolle ervoor 
A: 	en dat die bowling staaf zeggen maar 
B: 	ja 
B: 	oké 
A: 	en één ervoor en dat driehoekig ding aan de zijkant 
B: 	dat zijn bij mij J 
