A: 	een kop met een balle erop zijn eigenlijk de enig met een balle aan de bovenkant 
B: 	zo'n eivormig balle 
A: 	ja echt een rond balle eigenlijk en je zien hem niet helemaal 
A: 	en voor de rest zitten er een staaf voor het kop 
A: 	en aan de beide kant zitten er een soort 
B: 	ja 
A: 	hebben je hem 
B: 	dan weten ik welk het zijn 
B: 	dat zijn O 
B: 	oké ik zien een ja weer zo'n zo'n zo'n rond maar ik vinden het op een ei lijken , volgens mij weten je dan wel wat ik bedoelen 
A: 	ja 
B: 	en die zitten op het kop en aan de voorkant zitten er een één ja een paal die naar beneden gaan 
A: 	oké en hebben hij ook aan links en rechts een soort uitstulpsel 
B: 	ja 
A: 	oké nummer vijfteen 
A: 	oké dit hebben een balle bovenop als enig 
A: 	en het een staaf die recht naar beneden lopen , een heel groot staaf 
B: 	ja dat zijn A 
B: 	oké deze hebben aan de bovenkant een rond een ei 
B: 	en aan de voorkant een paal 
B: 	en aan twee aan de zijkant aan allebei de kant een uittulpsel 
A: 	oké nummer twaalf 
A: 	een balle bovenop en een best wel lang staaf 
B: 	dat zijn J 
B: 	de cirkel op het kop en de paal aan de voorkant 
A: 	die recht staaf met 
B: 	ja 
A: 	oké 
A: 	nummer vijfteen 
