B: 	oké 
B: 	het kop staan op een vierkant plateauachtig iets 
B: 	dat zijn eigenlijk de enig die op iets staan 
A: 	ja 
B: 	plat ding 
B: 	met allemaal van die bollet dinget erachter 
A: 	ja die ruitjesachtig 
B: 	ja en dan nog een een cirkel aan de voorkant en dan nog een boog ernaast en aan de ander kant ook zo'n boog ernaast 
A: 	ja 
A: 	ja dat zijn vijf 
A: 	ja dit zijn dat kop wat volledig op het plaat staan vierkant plaat 
A: 	met ja de ruitsprietjes aan de zijkant en het rond aan de voorkant en de boog 
B: 	ja 
B: 	dat zijn de J 
B: 	dit zijn die staan op zo'n vierkant plateau met rui aan de achterkant en zo'n cirkel aan de voorkant 
A: 	ja 
A: 	dat zijn elf 
A: 	ja dit zijn diegene die op het plaat staan met de driehoek diaman 
B: 	ja 
A: 	en de rond aan de voorkant 
B: 	dat zijn P ja 
B: 	dit zijn die op een vierkant ding staan 
B: 	als enig 
B: 	met de diamant erachter 
A: 	ja ja 
A: 	dat zijn negen 
A: 	dit zijn die op het op het plateau met die diaman aan de achterkant 
B: 	ja 
B: 	dat zijn L 
