A: 	tik 
A: 	ja dit zijn veel zo'n soort ja net korfbal achtig iets soort met en dan zijn eigenlijk een stok omhoog dan zitten er eigenlijk dat ovaal ding tegenaan en dan uitkomen er 
A: 	buitenkant twee er uit en met een bal er bovenop of een rond 
B: 	bal er bovenop o soort soort 
B: 	beetje zo dat dat hij zo staan bal bovenop en dan zo'n staaf aan de zijkant die er onder uit komen ja dan zijn het D 
A: 	ja 
A: 	ja 
A: 	ja 
B: 	ja dit zijn weer die die bal die bovenop liggen met die met die staaf aan de zijkant die er onderin nog uitsteken 
A: 	zijn helemaal draaien 
A: 	ja 
A: 	ja en dan nog aan die zijkant ja 
B: 	aan die zijkant inderdaad die twee twee ding die afbuigen 
A: 	dat zijn dan nummer vijftien 
A: 	ja dat dit zijn nog steeds die wat ik zeggen een korfbal met een bolle er bovenop waar aan de zijkant waar 
B: 	ja en die balk die dan zo ja dat zijn L 
A: 	ja en die balk naar beneden ja 
B: 	ja dit zijn weer dat korfbal ding balletje bovenop en met die balk ernaast 
A: 	ja 
A: 	dat zijn dan nummer zes 
A: 	ja dit zijn die korfbal dus eigenlijk die waar die bal bovenop liggen ja 
B: 	ja 
B: 	dit zijn J 
B: 	dit zijn weer die korfbal 
A: 	ja dat zijn dan nummer drie 
