B: 	dit kop hebben aan de bovenkant een balk zeggen maar horizontaal 
B: 	en dan aan de Rechtervoorkant zitten een dun rond staaf met een half doorzichtig 
B: 	driehoekstaaf of zo eronder 
A: 	ja 
B: 	en dan aan helemaal links daarvan zitten een soort van conisch vorm of zo 
B: 	en aan de rechterkant ook die zien je dan nog net zeggen maar 
A: 	ja 
A: 	ja 
A: 	volgens mij ja dat denken dat ik weten met die driehoek en dan daarop dat dun pinne 
B: 	ja dat zijn ook de enig met een balk aan de bovenkant 
A: 	ja ja 
A: 	dat zijn acht 
A: 	ja dit zijn ja ik noemen het altijd de ander vogel met die horizontaal balk boven en dan dat gek driehoek met dat 
A: 	ja dun staaf erop en dan aan de zijkant nog die ja die uitlopende driehoek 
A: 	die met die die horizontaal staaf boven 
B: 	even kijken hoor waar zijn die 
B: 	die balk bovenop 
A: 	ja 
B: 	en dan het zijn net twee van die vleugel aan de zijkant 
A: 	ja en dan ja een neus met nog zo'n staaf erbovenop 
B: 	oké ja dat zijn E 
B: 	dit zijn die ander vogel met die balk aan de bovenkant 
A: 	ja ja 
A: 	dat zijn één 
A: 	ja dit zijn de Tweede vogel met die balk bovenop 
B: 	ja even kijken waar die staan ja dat zijn E 
B: 	dat zijn die ander vogel met die balk bovenop 
A: 	ja 
A: 	zoeken zoeken 
A: 	ja 
A: 	dat zijn zestien 
A: 	dit zijn de twee vogel met de balk boven 
B: 	waar zijn die 
B: 	ah dat zijn O 
