A: 	deze hebben zo'n trapezium als hoofd als hoofddeksel 
A: 	zo'n ja zeggen maar zo'n figuur 
B: 	zo 
A: 	ja zo zo kort Erboven en dan lang zijdevlakak en dan onder weer een lang vlak 
A: 	hij hebben ook een neus 
B: 	ja wat voor ? wat voor vorm 
A: 	die wat die wat platt zijn 
A: 	en hij hebben dat ja dat istek waar ik het over hebben dat zijn die twee balk aan de rechterkant van zijn hoofd ja of eigenlijk links maar 
B: 	die zien ik als een kip 
A: 	als een kip 
B: 	ja 
B: 	met een met een vleugel zo naar achter 
A: 	dat zien ik echt niet 
A: 	nog 
B: 	nou ja oké ik snapen denken ik wel welk je bedoelen 
A: 	ja 
B: 	oké 
B: 	het isteken dus ja 
A: 	ja 
B: 	dat zijn I 
B: 	oké dit zijn weer de kip met het isteken 
A: 	ja ja de 
B: 	ja 
A: 	ja dat zijn twee 
A: 	ik hebben de kip 
B: 	oké 
B: 	dat zijn M 
B: 	oké ik hebben de kip 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	ik hebben de kip 
B: 	ja 
B: 	dat zijn F 
B: 	ik hebben de kip 
A: 	ja 
A: 	oké dat zijn nummer zes 
