A: 	okee nou ja je hebben weer een kop met weer veel uitsteeksel 
B: 	Alright 
A: 	bovenin hebben je een ruit 
A: 	en daar zitten ook weer die legoblok doorheen boord 
A: 	en naar de buitenkant er vanaf het ruit af zeggen maar worden die blok ook steeds groot 
B: 	ja 
A: 	hebben je aan de onderkant één of ander raar haak waar die soort van op staat 
B: 	ja ja 
A: 	en aan de rechterkant nog een uitsteeksel een beetje 
B: 	en hij hebben ook een soort van neus toch 
A: 	ja precies ja ja 
B: 	soort van 
B: 	ja 
B: 	ja dan denken ik dat ik hem ook wel weten ik gaan voor k 
A: 	kloppen 
A: 	okee 
B: 	okee dit zijn een kop waarbij je bovenop een twee van die legoblokantennetjes hebben 
B: 	met een een vierkantje wat er in het kop staan 
B: 	een soort pinokkio-neus 
B: 	een haak naar onder uitgestoken 
B: 	en aan de ander kant hebben je ook een uitstekend haak aan de rechterkant zijn dat 
A: 	ja en dan dat ruitje bovenop dus met 
B: 	ja 
A: 	ja okee ja 
B: 	met lego dinget ja 
A: 	okee dat zijn nummer elf 
A: 	kop met de ruit aan de bovenkant waar legoblok doorheen zijn jasen aan beide kant 
B: 	ja 
A: 	ja en haak onder en rechts 
B: 	dat zijn k 
B: 	ja 
A: 	het zit al in je hoofd 
B: 	ruitvorm met legoblok aan de bovenkant 
A: 	ja 
B: 	pinokkio-neusje 
A: 	vinden 
B: 	ja 
A: 	nummer acht 
A: 	deze zijn met de ruit aan de bovenkant met de legoblokje erdoorheen 
A: 	haak aan rechts en onderkant en 
B: 	dat zijn voor mij j 
A: 	ja 
B: 	ruitvorm met legoblok erdoorheen 
A: 	ja nummer twaalf 
