B: 	dit zijn het theekopje ik noemen het maar een theekopje die het weinig uitsteeksel hebben 
B: 	hij hebben eigenlijk geen geen staf eruit 
B: 	bovenop zitten een soort van rechthoek 
B: 	vrij klein 
B: 	en link zitten een soort van ja kapachtig vorm 
A: 	en rechts een soort van schep 
B: 	ja ik zien het niet heel goed 
A: 	een klein stok met een 
B: 	ja een soort van driehoeksstaaf met een stok erin 
A: 	ja dat zijn het 
B: 	het zijn de klein zeggen maar 
A: 	ja en dan ja en dan met zo'n rechthoek erin zeggen maar zo'n breed 
B: 	ja ja erbovenop ja 
A: 	ja okee 
A: 	ja dat zijn voor mij nummer tien 
A: 	deze zijn die met de weinig uitstulping met die vierkant erin die lang vierkant 
B: 	ja 
A: 	ja 
B: 	ja ik hebben hem denken ik dat zijn i 
B: 	dit zijn weer de klein met zonder uitstulping en de de de rechthoek bovenop 
A: 	ja 
A: 	yeslen ja dat zijn vijf 
A: 	dit zijn die met die weinig vorm de klein met de vierkant erin 
B: 	ja erbovenop toch ? ja 
A: 	ja 
B: 	dat zijn m 
B: 	de klein weer met een rechthoek bovenop 
A: 	ja dat zijn veertien 
A: 	dit zijn de klein met de rechthoek bovenop 
B: 	ja dat zijn d 
