A: 	nou deze vinden ik ja aan de onderkant zitten zo'n buigen iets een uitsteeksel dat zijn negentig graad buigen 
B: 	ja 
A: 	en bovenin zitten een platvorm en daar zitten ook iets doorheen steken 
B: 	ja en hij hebben ook zo'n soort heel dun neus 
A: 	neus ja jaja dat zijn wat ik willen zeggen 
B: 	en en dan nog aan de zijkant zo'n zelfde uitsteeksel als onderin zitten 
A: 	nog een uitsteeksel 
A: 	ja precies 
A: 	ja ja 
B: 	ok M 
B: 	deze hebben een soort ja dus inderdaad die negentig graad hoek onderin en 
A: 	dan onderkant 
B: 	en die en die soort pinoccio heel dun lang neus en bovenop zitten nog een soort vierkant met iets er doorheen 
A: 	of wat 
A: 	even kijken 
A: 	ja ja negen 
A: 	die een met die negentig graad hoek aan de onderkant en met die ? vorm boek of zo en dan zitten een iets doorheen 
B: 	ja een boek boek met een balk er nog doorheen H 
A: 	ja precies 
B: 	even kijken de drie ding met twee ding van negentig graad en boek met een ding er doorheen 
A: 	ja met dat boek en ja ok 
B: 	met het boek op zijn hoofd met een pilaar er bij 
A: 	elf 
A: 	met dat boek met dat ding er doorheen 
B: 	even kijken 
A: 	bij mij zijn hij linksonder 
B: 	ja bij mij zijn hij ook links onder o D shit 
B: 	boek met een spijker er doorheen 
A: 	ok 
B: 	twee keer negentig graad 
A: 	ja veertien 
