A: 	deze hebben vier verschillend vorm aan zich zijn heel misvorm 
A: 	en ja een feesthoed bovenop 
B: 	een feesthoed 
A: 	zo'n een perfect driehoek 
A: 	bovenop 
A: 	dus eigenlijk zijn het heel simpel 
B: 	even zoeken 
A: 	en een kogel links lijken het op 
B: 	ja ik hebben hem m 
B: 	deze hebben het groot driehoek bovenop en een kogel links 
A: 	ja die hebben ik net 
A: 	daar 
A: 	ja de vier voorwerp kogel en een hoed 
A: 	link kogel boven hoed 
B: 	m 
A: 	driehoek 
B: 	deze hebben een driehoek bovenop zijn hoofd en een kogel links 
A: 	een 
A: 	kogel en hoed 
B: 	j 
B: 	de feesthoedje en de kogel 
A: 	veertien 
