B: 	oké deze hebben ook zo'n lepel twee lepelt hebben die en dan zo'n bolle op zo'n een beetje zo'n neus zeggen maar 
A: 	twee lepelt 
A: 	ik ik zitten de lepelt te zoeken 
B: 	zeggen maar die een die zo'n piercing door zijn neus hebben maar dan zonder piercing 
A: 	ja en 
A: 	ja en dan hij hebben een driehoekig oor oor 
B: 	zo'n soort 
B: 	ja ja ja ja 
A: 	ja 
A: 	dan zijn het veertien 
A: 	hij hebben een rond neusje 
A: 	en twee verschillend oort en één armp 
B: 	ja N 
B: 	deze zijn die met dat rond neusje met die twee lepelt en het klein pinne aan de 
A: 	en het 
A: 	ja 
B: 	ja 
A: 	negen 
A: 	het met het rond neus en die twee lepelt weer en dat kort armp 
B: 	G 
B: 	dit zijn die met dat rond neus en die twee lepelt en dat klein stuk 
A: 	ja 
A: 	vijf 
A: 	met die twee lepel en dat bolle weer met die neus 
A: 	en dat raar armp 
B: 	ja J 
