B: 	hier zitten ook zo'n plaat door het kop 
B: 	en tenminste volgens mij zijn het een plaat en er zitten twee van die poo aan en een ja nog iets staan erop 
A: 	ja 
A: 	poot aan 
A: 	ja ja ja 
A: 	ja ja ja 
B: 	en een soort staart of zo 
A: 	zestien zijn dat bij mij 
A: 	one's dit zijn een kop met 
A: 	met een soort van een tafel erdoorheen geschoven met die twee uit uitstekend ding aan dat plateau zeggen maar 
A: 	en dan zitten er nog een soort van kuip bovenop en een slange achter 
B: 	ja dat zijn P 
B: 	bij deze zitten die plaat erdoorheen met van die poo aan de onderkant en het kuip erop 
B: 	en het slange aan de achterkant eruit 
A: 	ja ja 
A: 	veertien 
A: 	dit zijn met die plank aan de bovenkant erdoorheen smeten zeggen maar met twee van die 
A: 	poot eruit en dan weer zo'n ja waarschijnlijk hebben je hem al 
B: 	dinget 
B: 	ja dat zijn N 
B: 	dit zijn waar die plaat er aan de bovenkant doorheen zitten en die poot en dat cupje 
A: 	tien 
A: 	dit zijn met die met die plank aan de bovenkant erdoorheen spiesen met zo'n 
A: 	oplopen kubusiets en twee poot 
B: 	ja dat zijn D 
