A: 	ik hebben aan de bovenkant hebben ik een een groot uitsteeksel die aan de bovenkant steeds bred worden en rond zijn aan de bovenkant net als daarnet 
B: 	ja 
A: 	dan hebben ik aan de linkerkant één groot en een klein uitsteeksel 
A: 	en aan de rechterkant een soort uitsteeksel dat steeds groot vierkant hebben 
B: 	ja ik weten hem 
B: 	o 
B: 	okee bovenop zitten een het aan de rechterkant zitten die blok die steeds groot worden 
B: 	waar je het daarstraks over hebben 
B: 	en dan bovenop zitten dan zo'n langwerpig voorwerp en aan de 
A: 	dat rond worden 
B: 	ja wat rond worden en aan de voorkant ook 
A: 	en aan de linkerkant zitten er ook één 
B: 	ja ja 
A: 	vier 
A: 	ik hebben dat een met dat steeds wordende steeds bred worden ding aan de rechterkant 
B: 	ja 
A: 	het rond ding aan de bovenkant en zo'n zelfde rond ding aan de linkerkant 
B: 	ja ja c 
B: 	ik met die aan de rechterkant van die dos die steeds groot worden 
B: 	en dan bovenop zo zo'n ding dat steeds rond worden 
A: 	ja en die hebben je aan de zijkant ook ja 
B: 	en aan de voorkant ook 
B: 	en aan de zijkant ook ja 
A: 	twaalf 
A: 	ik hebben dat steeds bred worden ding aan de rechterkant 
A: 	dan dat gek rond ding bovenop 
A: 	dat gek rond ding aan de linkerkant 
B: 	ja ja 
B: 	d 
B: 	ik hebben dat doos aan de rechterkant die steeds groot worden en dan dat die twee 
B: 	daarbovenop zitten zo'n ding dat dat steeds rond worden aan de linkerkant ook 
A: 	en aan de ja 
A: 	tien 
