B: 	deze 
B: 	er zitten een aan de linkerzijde zijn twee uitsteeksel allebei bestaan uit drie kubus die van groot naar klein lopen of klein naar groot hoe je het willen zien 
B: 	en dan daarbovenop een soort van klein paddestoel lijken het wel 
A: 	ja 
B: 	en aan de rechterkant een plat vierkant tegenaan plakken 
A: 	ja dat doen me een beetje aan een satelliet denken 
B: 	okee 
A: 	dat zijn nummer een 
A: 	ja dat zijn het satellietachtig iets met de paddestoel daarboven 
A: 	met die zeggen maar blok die van groot naar klein lopen 
B: 	ja 
A: 	en met een soort vierkant rechtsvoor 
B: 	ja dat zijn k 
B: 	ah dit zijn wat je als satelliet omschrijven en het paddestoel en die twee 
A: 	ja 
A: 	dat zijn nummer twee 
B: 	ja 
A: 	de antenne met de paddestoel boven of satelliet 
B: 	ah ja 
B: 	dat zijn m 
B: 	de satelliet met het paddestoel 
A: 	ja waar zijn die 
A: 	nummer vijfteen 
A: 	de satelliet met de paddestoel 
B: 	dat zijn p 
