B: 	okee deze lijken een soort ontbijtbord voor zich te hebben die je zo zo'n ding dat je op bed kunnen zetten met poo 
B: 	er staan een klein bak op 
B: 	en hij hebben ook een klein haak op zijn achterhoofd 
A: 	wachten dan zitten ik verkeerd 
B: 	wachten die ander lijken er ook een beetje op deze hebben poot 
A: 	ja 
A: 	poot 
B: 	en hij hangen om zijn hoofd heen 
B: 	het plateau 
A: 	maar het plateau zitten dat snijden de 
B: 	ja 
A: 	en er staan twee stekelt zeggen maar bovenop 
A: 	nee 
A: 	ah 
B: 	nee 
A: 	hebben hij wat zitten er aan de zitten er ook iets achter aan de achterkant 
B: 	ja aan de achterkant hebben hij een haak 
A: 	een haak en op het plateau staan iets 
B: 	ja 
A: 	ja okee gelukkig 
A: 	vijfteen 
A: 	die ander hebben ik al hebben 
B: 	ja ik denken al er zijn er nog één die er op lijken 
A: 	deze hebben zoals jij zeggen als je ontbijt op bed krijgen een dienblad met iets erop 
B: 	ja 
A: 	krulle aan de achterkant 
B: 	dan zijn het b 
B: 	deze hebben het ontbijt op bed 
A: 	dat zijn vijf 
A: 	deze hebben ontbijt op bed 
B: 	waar zijn die b 
B: 	deze krijgen ontbijt op bed 
A: 	acht 
A: 	ontbijt op bed 
B: 	waar zijn je blijven 
B: 	dat zijn j 
