A: 	jij hebben hem 
B: 	ja 
B: 	oké dit zijn een soort van zeshoekig uitsteeksel aan de linkerkant 
A: 	zeshoekig uitsteeksel aan de linkerkant 
B: 	met een fliebel aan de bovenkant aan de rechterkant 
A: 	en zo'n soort van deksel erachter 
B: 	ja ja 
A: 	ja oké 
A: 	dan weten ik hem , twaalf 
B: 	oké 
A: 	oké ja deze hebben zegmaar een soort van ja één ja die hebben iets aan de onderkant 
A: 	gewoon ja hij staan bovenop iets maar hij zitten wel vast aan 
B: 	ja 
A: 	en aan de linkerkant zijn het ook zo'n zegmaar ik weten niet een zeshoekig een cilinder zegmaar aan de linkerkant wat uitsteken 
B: 	ja 
A: 	en weer zo'n soort met deksel erachter weer 
B: 	met 
B: 	ja 
B: 	ja precies oké dat zijn C 
B: 	ja dit zijn die met de schijf aan de achterkant 
A: 	oké 
A: 	schijf 
B: 	en met een met een soort van zeshoek uitsteken aan de linkerkant 
A: 	ja 
B: 	op een soort van opzet , ja hoe zeggen je dat , niet echt een plaat , maar hij staan wel op iets zeggen maar 
A: 	oké wachten dit zijn 
A: 	aan de linkerkant hebben hij die schijf 
B: 	nee aan de achterkant 
A: 	wachten 
B: 	en dan aan de linkerkant hebben hij een soort van zeshoekig balk 
A: 	zeshoekig balk 
B: 	of zoiets zijn de 
A: 	aan de linkerkant 
B: 	ja 
A: 	ja oké 
A: 	en maar dan zitten dan weer met zo'n deksel erachter 
B: 	ja ja 
A: 	oké ja dat zijn elf 
B: 	oké 
A: 	moeten ik drukken 
A: 	ja dit zijn weer met dat deksel aan de achterkant en die ja zeshoekig cilinderachtig aan de rechterkant 
B: 	ja 
B: 	oké dat zijn M 
A: 	link 
B: 	ja ja link 
B: 	ja dit zijn weer die met die deksel aan de achterkant 
A: 	ja 
B: 	en die balk links 
A: 	ja dat zijn negen 
A: 	ja dit zijn weer met die deksel erachter 
A: 	en zo'n zeshoekig 
B: 	met die ja oké 
B: 	ja dat zijn P 
A: 	ja 
