A: 	oké 
A: 	nou hij hebben aan al kant hebben die wat 
A: 	hij hebben een één ja een 
B: 	al kant hebben die hebben die 
A: 	ja hij hebben een lepel 
A: 	hij hebben zo'n staart 
B: 	ja en dan zo'n soort pionne aan de zijkant en dan zo'n 
A: 	nou 
A: 	ja en als het een man zijn zijn dan 
B: 	ja ja 
B: 	oké dan zijn het E 
B: 	deze hebben die robot die je net hebben zo'n zelfde structuur aan de linkerkant alleen die hebben die dan 
A: 	ja 
B: 	ja rechts 
A: 	rechts 
B: 	en dan zo'n lepel groot lepel en nog een lepel aan de ander kant en nog zo'n als het een man zullen zijn 
A: 	die ja 
B: 	ja 
A: 	gaan ik hem even zoeken 
A: 	ja dat die lepel en een blok 
B: 	ja 
B: 	en dan nog een ander uitsteeksel 
A: 	ja 
A: 	ja ja precies 
A: 	elf 
A: 	dit zijn die zijn het man weer 
B: 	J 
B: 	met die lepeltje aan de bovenkant en die man 
A: 	ja 
A: 	waar zijn de man blijven 
A: 	ja negen 
A: 	het man 
B: 	B 
B: 	dit zijn die man 
A: 	vier 
