A: 	deze hebben een uitsteeksel links en dat zijn een eigenlijk een omgedraaien pion en die die opsteken naar Linksboven 
A: 	die zitten niet aan de aan het komme zelf vast die zitten aan het uitsteeksel vast 
A: 	en dat zijn gewoon een omgedraaide pion 
A: 	hij hebben rechts ook nog een een uitsteeksel dat zijn een een rond plateau 
B: 	aan de 
A: 	in het midden 
A: 	en Linksboven opsteken er iets uit en dat zijn een eigenlijk een omgedraaide pion 
B: 	ja en die omgedraaide zijn dat bedoelen je dan met die omgedraaide pion dat daar ook één dat die pion al uit een soort uitsteeksel komen 
A: 	ja ja 
B: 	en dan rechts nog een soort plateau 
A: 	een ronde 
B: 	een rond ja 
A: 	ja 
B: 	oké dat zijn L 
B: 	dit zijn die waar je het net over hebben met die pion 
B: 	en met dat rond aan de rechterkant 
A: 	die pion Linksboven 
B: 	ja met de pion Linksboven en dan het rond rechts 
A: 	ja 
A: 	zijn nummer zeven 
A: 	dit zijn met de pion Linksboven die uitsteken 
B: 	pion 
B: 	ja ja ik moeten hem weer even zoeken hoor 
B: 	ja 
B: 	ja en dat dan weer dat rond aan de rechterkant 
A: 	ja 
A: 	ja 
B: 	C 
B: 	dit zijn dat pionne dat eruit opsteken met het rond aan de rechterkant 
A: 	even kijken 
A: 	ja 
A: 	dat zijn nummer één 
A: 	dit zijn die pion die aan de linkerkant helemaal eruit steken 
A: 	naar linksboven toe 
B: 	ja ja dat zijn A 
B: 	pion die eruit opsteken aan de linkerkant met het rond die er rechts aan zitten 
A: 	ja nummer dertien 
