B: 	oké 
B: 	deze hebben een vierkant aan de zijkant van zijn hoofd 
A: 	ja 
B: 	en een toefje op zijn hoofd en twee van die blken kijker 
A: 	ja 
A: 	ja ja ja 
A: 	ja 
A: 	dat zijn nummer twee 
A: 	ik hebben nu weer wel die met dat vierkantje aan de voorkant 
A: 	en met dat schoorsteen waar ik het over hebben 
B: 	ja 
B: 	en dat schoorsteen en twee van die spriet 
A: 	ja 
B: 	oké dat zijn G 
B: 	oké 
B: 	ik hebben weer die met het schoorsteen en het het vierkant voor zijn aan de zijkant 
A: 	en die twee blok allemaal 
B: 	ja en de twee blok 
A: 	ja 
A: 	dat zijn negen 
A: 	ik hebben dat ding met dat schoorsteen en dat vierkant ding aan de voorkant van zijn gezicht 
B: 	die 
B: 	ja dat zijn D 
B: 	ik hebben die met het schoorsteen en het vierkant ervoor 
A: 	ja oké ja dat zijn één 
A: 	ik hebben die met die schoorsteen en dat vierkant ding aan de voorkant 
B: 	ja 
B: 	dat zijn B 
