A: 	ja dit zijn bij mij ja ik hebben het omschrijven als een als een soort boei of zo 
A: 	dit zijn van die zo'n emmer en dan zien je daarachter die zo'n 
A: 	ja zo'n zeshoekig staaf en aan beide kant zo'n rond ei erop 
B: 	zo 
B: 	ja en dan zitten er aan de achterkant zitten nog een plaat 
A: 	ja zo'n plaat met zo'n 
B: 	ja ja 
A: 	ja 
B: 	dat zijn K 
B: 	oké dit zijn deze hebben aan de achterkant van die buis 
B: 	en dan met die met die rond bal erop 
B: 	en en achter dat plaat dat nog schuin staan 
A: 	wachten even 
B: 	dat zijn die zeshoekig zeshoekig staaf met met aan beide kant zo'n zo'n bal 
A: 	met die ja ja oké 
A: 	dat zijn negen 
A: 	ja aan de achterkant zitten nog dat plaat 
B: 	ja ja inderdaad 
A: 	ja negen 
A: 	ja dit zijn die zeshoekig staaf met die twee rond aan de uiteinde 
B: 	ja en het plateau 
A: 	en het plateau aan de achterkant 
B: 	ja 
A: 	ja 
B: 	dat zijn F 
B: 	die staaf achter met die zes ding en dan die bollen aan de aan de buitenkant 
A: 	wachten even 
A: 	die staaf 
B: 	aan de achterkant die daar op de grond liggen zeggen maar 
A: 	wachten even jee 
B: 	met die met die bal 
A: 	ah die zo met die met die rond aan de 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	en die dat plateau 
B: 	yes 
A: 	ja 
A: 	ja dat zijn drie 
A: 	ja dit zijn die zeshoekig staaf met die twee rond op de zijkant en dat plaat achter 
B: 	ja 
B: 	L 
B: 	dit zijn de de staaf met de met de bal aan de zijkant 
A: 	de staaf met de 
A: 	klinken ook zo lekker 
B: 	ja het zijn wel duidelijk 
A: 	waar staan die 
A: 	hij zijn daar 
A: 	vijf 
