B: 	nou hebben hem weer ja 
B: 	er zitten zeggen maar een een plat vierkant zitten er ongeveer erin in het kop 
B: 	en bovenop staan twee punt achtig ministaaf 
A: 	ja 
B: 	en links hebben je zo'n 
A: 	tetrisblokje 
B: 	ja ik zitten aan een kapstok te denken maar ja 
A: 	ja ja ook ja in zo'n 
B: 	en vooraan hebben je een soort van rond staaf die naar voren komen 
A: 	ja 
A: 	ja ik hebben hem dat zijn nummer twee 
A: 	deze hebben een vierkant halverwege zitten met een buis die erop uit komen en nog een kapstok aan de linkerkant en twee van die dinge erop twee rond staaf 
B: 	ja 
B: 	dat zijn bij mij j 
B: 	deze hebben in het midden ongeveer een vierkant zitten en bovenop twee staaf 
A: 	ja yes nummer zeven 
A: 	dit zijn die met het vierkant halverwege waar die cilinder op uitkomen en waar die jashaak hangen 
B: 	ja dat zijn n 
B: 	twee klein staafjes bovenop en een plat vierkant erin 
A: 	ja dat zijn elf 
A: 	dit zijn met die vierkant halverwege en die twee klein dinge bovenop en die cilinder die erop uitkomen met die jassenhaak 
B: 	ja dat zijn 
B: 	ja ja dat zijn f 
