B: 	ja deze hebben de verrekijker 
B: 	hebben twee van die 
A: 	spijker op het hoofd 
B: 	ja spijker op het hoofd 
A: 	ja welk 
B: 	plat plat ding 
A: 	ja 
B: 	B 
A: 	B twee 
B: 	ja 
A: 	spijker op het hoofd verrekijker 
B: 	ja G 
A: 	dertien 
B: 	G dertien 
B: 	dit zijn de verrekijker met zo'n antenne of zo'n hoed 
A: 	ja ja ja ja 
B: 	ja 
B: 	B 
A: 	B negen 
A: 	verrekijker 
A: 	spijker op het hoofd 
B: 	ja D 
A: 	zeven 
B: 	d zeven 
B: 	deze noemen ik verrekijker met die antenne zo 
A: 	ik weten welk je bedoelen 
B: 	P 
A: 	welk 
B: 	P 
A: 	P één 
A: 	jou verrekijker 
B: 	even kijken B 
A: 	negen 
B: 	B negen 
