B: 	deze hebben een hebben een vierkant plaat zeggen maar aan de voorkant 
A: 	van jou 
B: 	en een op zijn hoofd lijken het een schroef 
A: 	ja en dan twee 
B: 	twee Empire State Buildings 
A: 	ja 
A: 	hij lijken op oog 
B: 	ja 
A: 	nou dat kunnen ook 
B: 	ja dat ook 
A: 	twee 
A: 	ja vierkant oor zeggen maar en dan zo'n 
A: 	kogel of een champignon en dan twee oogjes 
B: 	even kijken een vierkant 
A: 	ik weten niet veel hoe we die net hebben beschrijven 
A: 	het hebben zeggen maar wel zo'n vierkant ja blad zeggen maar 
B: 	die en dan zitten hierboven zo'n ding en aan de zijkant ook 
A: 	ja 
A: 	ja 
B: 	ja 
B: 	F 
B: 	dit zijn die met die met zo'n vierkant plaat 
B: 	boven weer een schroef en dan die die die uitpuilen blokkending 
A: 	ja ja ja 
A: 	negen 
A: 	ja dat dat vierkant blad zeggen blaad zeggen maar en dan die 
B: 	ja 
A: 	World Trade Center wat jij zeggen en dan zo'n mushroom 
B: 	ja 
B: 	ja ik zien het ja 
A: 	op zijn kop 
B: 	d 
B: 	die met die vierkant plaat en weer die die blok zeggen maar als oog 
A: 	ja 
A: 	en dan dat ding naar boven 
B: 	ja 
A: 	één 
A: 	dat vierhoek vierkant en dan die twee oogjes 
B: 	ja 
B: 	B 
