B: 	hopen ik 
B: 	ja 
B: 	ik zien het als R2D2 zo'n rond kop met twee van die voet links of armp hoe je het ook willen kijken eens naar mij zo dit zo die hand 
A: 	oké ja 
B: 	zo houden hij ze aan de beide zij van zijn lijf en zijn hoofd zijn langwerpig 
B: 	het zijn dus een kop 
B: 	met aan de linkerkant een dinge en aan de rechterkant een dinge , ja ik vinden het als twee armp eruit zien , hebben je enig idee wat ik dan bedoelen 
A: 	en zitten er een een pilaar bovenop 
B: 	ja of die liggen horizontaal op hem 
A: 	oké 
A: 	ja 
A: 	ja en een soort van ja volgens mij hebben ik hem 
B: 	precies ja 
A: 	dertien zijn dat 
A: 	de bak met met de balk horizontaal er bovenop en de twee omgedraaien kop aan de zijkant 
A: 	en een soort van zoiets 
A: 	aan de voorkant 
A: 	jij noemen het volgens mij net de armp 
A: 	van een 
B: 	ja die zitten toch ja zo zien ik het een beetje zo toch 
A: 	ja 
A: 	ja 
A: 	ja 
B: 	zijn op gelijk hoogte van elkaar maar dan ander kant 
B: 	dat zijn P 
B: 	poppe met de armp 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	de horizontaal balk op zijn kop 
A: 	zijn dat 
B: 	ja 
A: 	de bak met de twee armp en met de pilaar bovenop 
B: 	K 
B: 	poppe met twee armp 
B: 	en een paal op zijn kop 
A: 	ja negen 
A: 	met de armp 
B: 	N 
