B: 	aan de voorkant zijn een heel groot vierkant vlak 
B: 	en aan de linkerkant twee soort blokkendoes die erin gaan 
A: 	ja 
A: 	ik vinden het een soort ruimteschip 
B: 	ja 
A: 	hij hebben ook nog een antenne 
B: 	ja ja 
A: 	ja 
B: 	iets futuristisch 
A: 	dan zijn het 
A: 	ja precies dan zijn het twee 
A: 	check 
A: 	dit zijn dat ruimteschip 
A: 	met die twee torent blokkentorent erin een antenne en een ja en een soort tv of zo gewoon een vierkantje aan de voorkant 
A: 	een een vlak 
B: 	ja met twee twee blokkentoren aan de linkerkant 
A: 	ja 
A: 	ja 
B: 	dat zijn G 
B: 	dit zijn dat poppe met aan de linkerkant twee blokkentoren die het hoofd ingaan aan de voorkant een groot vierkant vak vlak 
A: 	ja 
A: 	dat zijn een ruimteschip 
B: 	ja zoiets 
A: 	negen 
A: 	het ruimteschip met de antenne bovenop en de twee blokkentoren die erin steken aan de linkerkant 
B: 	ja dat zijn D 
B: 	dit zijn met ja het volgens mij noemen we het ruimteschip met de twee blokkending die erin gaan 
A: 	ja 
A: 	één 
A: 	oehlen ik zeggen het bijna niet 
A: 	ruimteschip 
B: 	met voor een vierkant vlak 
A: 	ja 
B: 	dat zijn B 
