B: 	oké deze hebben aan de voorkant hebben die een gewoon een vierkant zo hiervoor 
B: 	en aan de linkerkant zitten allemaal zitten twee van de armpjes met steeds groot worden blok 
A: 	ja 
A: 	ik weten welk het zijn 
A: 	nummer twee 
A: 	one's dit zijn dat ding met die twee armp link met die blok die groot worden 
A: 	en dan zo'n soort antenne op op het hoofd 
B: 	ja ik hebben hem 
B: 	G 
B: 	deze hebben die antenne bovenop en links die twee van die armpjes met die blok en vooraan het vierkantje 
A: 	ja 
A: 	nummer negen 
A: 	dit zijn dat ding met dat vierkantje voor en twee armp link 
A: 	met van klein naar groot worden blok en die antenne bovenop 
B: 	ja D 
B: 	die antenne bovenop en links die blok die steeds groot worden 
B: 	en voorop die plaat 
A: 	ja 
A: 	kijken waar die zijn ja 
A: 	nummer één 
A: 	dat ding met die antenne erop en die twee armp met blok 
A: 	link 
B: 	ja B 
