A: 	ja dit vinden ik eruitzien als een koffiekop met een bijzettafel erlangs zullen ik maar zeggen een zo'n rond dinget erlangs en dan een raar uitstekend nier die er zo 
B: 	ja 
B: 	welk cijfer hebben die bij jou 
B: 	zijn het hoog cijfer 
A: 	dat ding 
A: 	negen 
B: 	negen 
B: 	oké nee 
B: 	er zijn een spijker in in het handvat ongeveer 
A: 	ja precies ja ja ja 
B: 	ja 
B: 	oké bij mij zijn dat L 
B: 	dit zijn het kop met de bijzet tafel 
A: 	die 
B: 	en met die spijker in het 
A: 	die zeggen maar door met het wacht even je bedoelen die een met dat ding dat Nierdinguitsteeksel waar dan die spijker zo op zitten 
B: 	ja ja 
A: 	oké 
A: 	ja dat zijn nummer zeven 
A: 	dit zijn die een met dat bijzettafel en die spijker 
B: 	ah ja C 
B: 	one die met de spijker 
A: 	ja 
B: 	en het bijzettafel 
A: 	dat zijn één 
A: 	dat bijzettafel met die spijker 
B: 	ja 
B: 	A 
B: 	met de spijker en het bijzettafel 
A: 	nummer dertien 
