B: 	deze hebben een soort vierkant in het midden erdoorheen 
B: 	en dan aan de voorkant een Ronde buis die naar voren steken 
B: 	aan de bovenkant twee stekelt en aan de linkerkant een soort L maar dan andersom 
A: 	ja 
A: 	omgekeerd 
B: 	ja 
A: 	ja 
A: 	oké ja ik hebben hem 
A: 	bij mij staan die 
B: 	moeten je het nummer of letter 
A: 	ja zes 
A: 	ik doen het alweer fout 
B: 	en dan en dan knopje 
A: 	zes 
A: 	ik hebben nu die een met dat vierkant zeggen maar erdoorheen 
A: 	en er opsteken vooraan een buis uit die ook naar voren opsteken dus 
A: 	en bovenop twee klein blok zeggen maar en link een Lvormig uitsteeksel omhoog 
B: 	ja 
B: 	dat zijn bij mij C 
B: 	deze hebben een vierkant er zo plat doorheen 
B: 	en een L aan de linkerkant 
B: 	twee dinge aan de bovenkant en de ding aan de voorkant 
A: 	ja 
A: 	dat zijn nummer dertien 
A: 	oké deze staan nee ik bedoelen deze hebben die soort van vierkant ja schijf dus 
A: 	doormidden en links die Lvorm die omhoogsteekken en dan die buis aan de voorkant die zo naar ons toe opsteken en die twee 
B: 	ja 
A: 	dinget bovenop 
B: 	ja 
B: 	dat zijn bij mij J 
B: 	dit zijn met dat vierkant plat erdoorheen 
B: 	en twee dinge aan de bovenkant een L aan de linkerkant 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	oké dit zijn met die L aan de zijkant die naar boven wijzen 
B: 	ja 
B: 	dat zijn bij mij N 
