A: 	ok 
A: 	okan ja deze doen me niet per se aan iets denken of zo dus ik gaan hem gewoon omschrijven die hebben aan de voorkant een 
A: 	best wel lang rechthoekig balk en aan de twee zijkant een soort rond uitsteek aan allebei te kant en op de bovenkant een rond 
B: 	o ja volgens ja ik denken wel dat ik weten tenminste mij doen het beetje denken aan Bolpuntcom man ik weten niet of je het dan 
A: 	Bolpuntcom man ja ik snapen wel wat je bedoelen 
B: 	ja ok dan zijn het denken ik wel dezelfde ja dan dat zijn bij mij in ieder geval D 
A: 	okan ja 
A: 	ok bij mij zeven 
B: 	o dan moeten ik eerst nog drukken 
B: 	o dit zijn o dit zijn weer dezelfde beetje dat bolpuntcom man waar het mij aan doen denken met die armpjes zo aan de zijkant en dat blok 
A: 	o 
B: 	er voor 
A: 	en dat bolle op zijn hoofd toch ? ja ok bij mij zijn dat vijftien 
B: 	ja ja 
B: 	ok bij mij K 
A: 	ok 
A: 	dit zijn wat zeggen je hier ook alweer hier over ? Bolpuntcom man 
B: 	o die okan ja dat zijn bij mij L 
A: 	ja even om zeker te zijn dat ik wel de goed hebben die een met die pilaar hier zo en dan het hoofd en die armpjes zo ja bij mij oklen ja bij mij zijn dat twee 
B: 	ja ja die ja 
B: 	ok 
B: 	o wachten gaan ik weer even 
A: 	ja maken ook eigenlijk niet uit gaan er om dat ze op dezelfde plek staan maken niet uit hoe je het uitleggen 
B: 	ja dat zijn waar 
B: 	dit zijn het Bolpuntcom man met een blok voor 
A: 	ja zijn zes 
B: 	ok bij mij M 
A: 	ja 
A: 	dit zijn het Bolpuntcom 
B: 	even kijken waar die zijn o daar J 
A: 	ja vijftien bij mij 
B: 	o 
B: 	het bolpuntcom poppe 
A: 	ja even zoeken zijn drie bij mij 
B: 	ok bij mij A 
