B: 	oké het volgen plaat lijken een heel klein beetje 
B: 	op een een soort stekker met allemaal dinget eraan vast 
B: 	er zitten een vierkantje omheen 
B: 	aan de ja jij lijken het als een koffiebeker dan zitten er aan de onderkant van het bekert zitten een een vierkant eromheen 
B: 	en daar staan die eigenlijk in een gat 
B: 	dus je zien de onderkant van het beker onder dat onder die plaat vandaan komen 
A: 	oké 
A: 	en dan hebben die aan de linkerkant een een staaf die links gaan en iets omhoog 
B: 	ja een Lvorm 
A: 	twee stickert recht omhoog 
B: 	ja 
B: 	en nog één 
A: 	en nog een ronde beetje aan de voorkant 
B: 	yes 
A: 	oké 
A: 	dat zijn nummer zes 
A: 	dan hebben we de koffiekop met de dun stekkerdinge aan de bovenkant 
A: 	met laag rond de middel de het vierkant eromheen 
B: 	ja 
B: 	ik weten hem 
A: 	oké 
B: 	dat zijn letter C 
B: 	dit zijn het stopcontact met de klein punt aan de bovenkant 
B: 	er zitten ver een 
A: 	en de vierkant rok 
B: 	ja 
B: 	vierkant rok inderdaad 
A: 	dat zijn nummer dertien 
A: 	volgen zijn de stekkert aan de bovenkant 
A: 	vierkant rok in het midden 
B: 	ja 
A: 	en nog twee uitsteeksel 
B: 	en die ding 
B: 	ja dat zijn letter J 
B: 	een stekker met die klein uitsteekselt en een vierkant vlak waar die in staat 
A: 	ja nummer negen zijn dat 
A: 	negen 
A: 	de stekkert aan de bovenkant 
A: 	vierkant rok om het midden 
B: 	ja ja 
B: 	duidelijk 
B: 	letter N 
