A: 	oké hier opsteken echt aan al kant iets uit 
A: 	boven en naar links het zijn een beetje van die ja wat zijn het ? soort joystick of zo waar je aan kunnen zitten 
A: 	en naar rechts opsteken één of ander ja wat zijn het ? blok 
B: 	een soort blokkentoren 
A: 	ja inderdaad een blokkentoar 
B: 	oké 
B: 	dan zijn het E 
B: 	dit zijn die twee waarvan jij zeggen met die joystick 
B: 	twee van die joystick één boven één link en dan aan de rechterkant een blok een blokkendoos 
A: 	ja ja ja 
A: 	elf 
A: 	dit zijn met die twee joystick één bovenop één aan de zijkant en die die blokkentoren erin 
B: 	ja dat zijn J 
B: 	dit zijn joystick boven joystick links 
A: 	ja 
B: 	blokkentoar rechts 
A: 	negen 
A: 	dit zijn de joystick 
B: 	de joystick 
A: 	rechts staan die 
B: 	B 
B: 	joystick boven joystick links 
A: 	vier 
