B: 	deze vinden ik deze zijn wel het veel apart die lijken het weinig op de ander want die hebben zo 
B: 	een rond van voor en dan staan die op een plaat 
B: 	en dan met die zo drie van die dinge aan beide kant 
A: 	met die kralenketting achtig 
B: 	ja het lijken inderdaad een beetje op een een recht kralenketting ja 
A: 	ja 
A: 	ja dat zijn vijf 
A: 	ik vinden dat een beetje op een zwembad lijken 
B: 	oké 
B: 	ik denken aan een clown omdat zo 
A: 	dat zijn ook ja die zien ik ook wel 
B: 	ja 
A: 	dit zijn die clown weer 
B: 	oké dat zijn J 
B: 	ik hebben weer die op de plaat rust 
A: 	die clown 
B: 	ja 
A: 	dat zijn elf 
B: 	lijken echt zo heel wazig op een clown 
A: 	ja maar dat maken het makkelijk 
B: 	ja 
A: 	dit zijn weer die clown 
B: 	ja dus P 
B: 	dit zijn de clown 
A: 	dat zijn negen 
A: 	dit zijn weer die clown 
A: 	of zwembad 
B: 	L 
