B: 	oken ik hebben deze ik zitten heel erg te twijfelen tussen of als fabriek of als vierkant dwarslaesie 
B: 	het zijn een soort schijf dwars een vierkant schijf dwars door het midden van de beker 
A: 	o 
A: 	met dat met die met die glijbaan 
B: 	met met 
B: 	ja met die glijbaan ja precies ik zitten er ook over te nadenken zullen ik hem omschrijven als glijbaan en die soort twee twee klein heel klein antennet bovenop 
A: 	lijken of een ja 
A: 	ja ja ja die die kennen ik wel ja 
B: 	ja 
A: 	dat zijn mijn favoriet 
B: 	ok 
A: 	nee o ik zullen het zeggen ja zes 
B: 	jij moeten dan zeggen 
A: 	o die een met die glijbaan die jij een fabriek noemen 
B: 	met het platvorm in de midden ja C 
A: 	met dat platvorm er recht doorheen ja 
B: 	ik hebben de fabriek of de glijbaan 
A: 	ja 
A: 	dertien 
A: 	die glijbaan fabriek 
B: 	zitten hem even te zoeken 
A: 	bij mij zitten hij in ieder geval onderin 
B: 	ja J 
B: 	fabriek glijbaan 
A: 	ok 
A: 	ja o negen 
A: 	die glijbaan fabriek 
A: 	of stofzuiger of zo 
A: 	hebben je wel eens zo'n Henry Stofzuiger zien 
B: 	zo wat 
A: 	zo'n Henry Stofzuiger 
B: 	ik weten het niet 
A: 	nee laten maar dan kennen je hem niet nee 
B: 	o ok nee dit 
A: 	hij lijken er heel veel op 
B: 	ok zijn dat zo'n zo'n zwevend stofzuiger ding 
A: 	nee nee niet per se 
B: 	o nee ok 
B: 	nee inderdaad maar die fabriek N 
