B: 	oké dit zijn weer een gezicht 
B: 	met zo'n een eineus 
A: 	ja 
B: 	en maar nu hebben die twee spriet en de een zijn een rechthoek en de ander één of ander gek ding 
A: 	ja dat hebben ik als een vulpen omschrijven ja 
B: 	een vulpen 
B: 	ja 
A: 	ik hebben het 
B: 	oké en hij hebben een ooriet 
A: 	ja ja ik zien hem 
A: 	ja dat zijn veertien 
A: 	vulp 
A: 	ik hebben nu weer die vulp 
A: 	en dat ei neus ding 
B: 	ja die 
A: 	ja 
B: 	ja 
B: 	oké dat zijn N 
B: 	oké ik hebben die met het Eineus 
A: 	ja 
B: 	en de balk op zijn hoofd en de vulp 
A: 	ja wachten even zoeken hoor waar die zijn 
A: 	ja wachten hij zitten bij mij linksboven ja 
A: 	ja dat zijn negen 
A: 	ik hebben die vulp en dat Eineus 
B: 	ja 
B: 	ja dat zijn G 
B: 	oké ik hebben de vulp 
A: 	ja 
A: 	oké dat zijn nummer vijf 
A: 	ik hebben die met die vulp 
A: 	en de Eineus 
B: 	ja 
B: 	ja 
B: 	dat zijn J 
