A: 	oké dus je hebben dat bakkie en dan bovenop en aan de zijkant zitten de twee zelfde soort 
A: 	vormig ovaalt 
A: 	en een beetje maar aan de achterkant zitten nog een klein raar koomarp 
A: 	en aan de ander kant daarvan zeggen maar zitten een soort vierkant allemaal blok naast elkaar 
B: 	ja een soort doos of of cakedoos of zoiets in die richting ja ja 
A: 	ja alsof je het stapelmen hebben maar dan zeggen maar zijwaarts 
B: 	oké letter E 
B: 	deze hebben jij net voor mij doen het zijn een beker 
B: 	aan de achterkant komen nog een beetje zo'n wormp uit of zo 
B: 	aan de voorkant komen die dos erin steken vliegen 
B: 	en hij hebben precies in het midden aan de bovenkant nog een zoiets zitten een een een staaf zitten 
A: 	ja 
B: 	en aan de voorkant hebben die ook nog een staaf erin zitten of een cirkel 
A: 	ja dat zijn de twee zelfde vormp 
B: 	ja 
A: 	ja 
A: 	nummer elf 
A: 	dit zijn die een raar met die twee dezelfde vorm uitstulpsel een soort druppelachtig vormp 
B: 	die 
A: 	en aan de achterkant zitten nog dat staart en aan de voorkant zitten weer die vierkant tegen elkaar aan zeggen maar de enig drukken 
B: 	kunnen je nog een keer uitleggen 
A: 	een soort komme 
B: 	ja 
A: 	en dan aan de voorkant of ja dus een beetje hier die richting 
A: 	hebben je dus die vierkant die er zo in steken zijn 
A: 	en dan aan de zijkant en aan de bovenkant dezelfde vorm zo'n soort druppel een soort handva 
B: 	ja 
B: 	ja ja en staart 
A: 	en nog dat dinge aan de achterkant 
B: 	oké ja 
B: 	worden het letter J 
B: 	deze zijn vervelend hij hebben een staart een soort van wormp wat uit hem komen en dan van die gek handvat dus één hier en één boven hem 
B: 	en er komen zo'n dozenvierkan in 
A: 	ja 
A: 	yes 
A: 	nummer negen 
A: 	dit zijn die raar met het staart aan de achterkant en dan zeggen maar daartegenover die vierkant die erin steken worden 
B: 	ja 
A: 	en dan die twee gelijkvormig hendel 
B: 	ja ja 
B: 	letter B 
B: 	hij hebben dat stom staart en hij hebben een handvat op en een handvat links en hij hebben van die dos die in hem steken 
B: 	die vierkant 
A: 	zijn ik 
A: 	ja maar ja 
A: 	nummer vier 
